省份,风俗详情
北京,
上海,
香港,"【粤剧】

粤剧是香港颇具代表性的传统表演艺术，已成为香港本地文化的重要印记。粤剧是香港民众喜爱的娱乐方式，从前如此，今天依然如此。香港粤剧演出史有两次高潮。一是在20世纪上半叶，那时的香港虽然由港英当局统治，在文化上、至少在戏剧上与广东并无分界。粤剧最有影响的戏班被通称为“省港大班”，几乎所有粤剧著名演员，他们习惯称之为“大佬倌”，都游走于香港和广州两地，创造了粤剧在省港两地共同的繁荣景象。而第二次高潮就是正在进行时的当下，多少是由于受到粤剧被联合国教科文组织认定为“非物质文化遗产代表作”的刺激，香港的粤剧演出形成新的热潮。香港特区政府很重视粤剧艺术的发展，为支持粤剧的研究、推广和持续发展，设立了粤剧发展咨询委员会和粤剧发展基金。"
香港,"【迎春花市】

在春节期间逛花市是香港民众最重要的春节习俗之一，特别是在除夕这一天，几乎每家每户都要到花市来，挑选鲜花或者是盆栽。祝愿来年身体健康、学业进步、事业顺利。"
香港,"【舞狮】

在香港又称醒狮，逢年过节或是店铺开业都有醒狮表演的传统。香港地少人多，建筑物密集，所以春节期间不允许燃放爆竹。但香港人新年图个热闹喜庆，舞龙舞狮从上世纪起就成了春节的固定节目。每年到香港观看舞龙舞狮的表演，也成为不少游客的必游项目。"
香港,"【端午】

香港保留着不少端午节的传统民俗，如举行龙舟竞渡、“放纸龙”仪式、用龙舟进行祭祀、游龙舟水及吃粽子等。香港人将划龙舟称为“扒龙舟”，这个习俗由来已久，最早有记录的端午龙舟竞赛是1919年在港岛东区北角举行的，随后演变成了一年一度的竞渡大赛，近些年还会举办国际性的龙舟赛事。"
浙江,
江苏,"【扬州·春节】

旧时，新年初一子时一过，便有人带上猪头三牲、香烛、鞭炮，赶到土地庙去烧头香，烧完香回家不再睡觉，等待天亮。天刚一放亮便天“财门”（大门），点燃香烛、鸣放鞭炮“接年”。接着晚辈起床给长辈拜年，长辈给晚辈吃桔子和云片糕，叫“走大局”、“步步高”。然后吃早饭“汤圆和面条。早饭后，中青年人出门向街坊邻居拜年，家中备有香烟、瓜子、糖果、糕点等食物，由老年人接待来拜年的客人。中午不做新饭菜，吃除夕晚餐余下的饭菜，叫“隔年陈”（“隔年陈”有的一直吃到正月初四）。新中国成立后，烧香敬神之俗在不少家庭中已经不见，初一这天，有些单位举行团拜，人民群众还开展向烈军属拜年及各种文化活动。"
江苏,"【无锡·春节】

无锡有贴桃符、门补、春联的风俗，还有在新年挂钟馗象，以避一年鬼祟。传说钟馗善于捉鬼。这个风俗大概始于唐代。无锡民间很多人家还有在门楣上张挂吉庆语句的红单联和剪纸门笺挂络的习俗。无锡地区在元旦早晨盛行吃糕丝圆子，取团圆高升的意思。另还要吃面，取长寿、长春之意。无锡风俗新年中小孩来到，主人就得拿茶点糖果招待馈赠。亲友中有孩子前来拜年都要赏给压岁钱。新女婿到岳母家去拜年，一般都选在年初三。初三称为小年朝，也不能扫地、乞火、汲水、与元旦风俗相同。"
福建,"【厦门·高甲戏】

高甲戏，发源于福建泉州，又名“戈甲戏”、“九角戏”、“大班”、“土班”，是闽南诸剧种中流播区域最广、观众面最多的一个地方戏曲剧种，源于明末清初闽南农村流行的一种装扮梁山英雄、表演武打技术的化装游行。"
福建,"【厦门·歌仔戏】

歌仔戏（发音：歌子戏或歌崽戏，后者在台湾较流行），是20世纪初叶发源于漳州的传统戏曲，故亦称之为芗剧，后传到台湾并得到进一步发扬。“歌仔”有小曲、民歌的意思（歌仔用普通话表达就是“小歌”），歌仔戏以掺杂文言的闽南语为主，让社会大众也能接触文雅词汇或忠孝节义故事，成为早期闽南地区和台湾社会重要娱乐活动之一。"
福建,"【厦门·送王船】

送王船，流传于中国闽南地区（泉州、厦门、漳州）和马来西亚马六甲沿海地区禳灾祈安的民俗活动。自15至17世纪形成以来，随着“下南洋”和海上贸易，逐步从我国闽南地区传播到东南亚地区。送王船传递着人们对先辈走向海洋的历史记忆，体现了人与自然和谐相处、尊重生命的理念，为推动包容性社会发展提供了丰富的文化对话资源；其承载的观察气象、潮汐、洋流等海洋知识和航海技术，是人们长期海上生产生活智慧的结晶。"
